Timestamp, Target, X, Y
2025-11-21 16:01:36, red-cube, 0.2772, -1.3676
2025-11-21 16:02:05, green-cube, 1.7889, -0.2274
2025-11-21 16:04:17, yellow-cube, 3.1733, -2.9574
2025-11-21 16:13:28, green-cube, 1.6877, -0.2553
2025-11-21 16:16:48, red-cube, 0.2520, -1.2924
2025-11-21 16:17:39, green-cube, 1.7282, -0.2104
2025-11-21 16:19:23, green-cube, 1.7331, -0.3928
2025-11-21 16:21:42, yellow-cube, 3.1534, -2.9424
2025-11-21 16:27:09, green-cube, 1.7934, -0.2226
2025-11-21 16:32:19, green-cube, 1.7394, -0.3545
2025-11-21 16:38:53, red-cube, 0.2520, -1.3760
2025-11-21 16:39:51, green-cube, 1.7887, -0.2332
2025-11-21 16:41:18, yellow-cube, 3.2226, -2.9549
2025-11-23 21:49:24, red-cube, 0.3616, -1.5491
2025-11-23 21:49:57, green-cube, 1.9472, -0.3656
2025-11-23 21:51:08, yellow-cube, 3.1537, -3.1433
2025-11-23 22:02:53, green-cube, 1.9197, -0.4391
2025-11-23 22:06:24, yellow-cube, 3.2132, -3.1689
2025-11-23 22:15:57, green-cube, 1.9643, -0.3209
2025-11-23 22:22:05, red-cube, 0.3273, -1.5619
2025-11-23 22:24:11, green-cube, 1.9668, -0.3270
2025-11-23 22:25:56, yellow-cube, 3.1805, -3.1536
2025-11-23 22:31:23, red-cube, 0.3215, -1.5621
2025-11-23 22:42:48, green-cube, 1.9248, -0.4407
2025-11-23 22:44:45, yellow-cube, 3.1456, -3.1491
2025-11-23 22:46:43, red-cube, 0.3955, -1.5399
2025-11-23 22:47:12, green-cube, 1.9658, -0.3217
2025-11-23 22:50:15, yellow-cube, 3.2382, -3.1284
2025-11-23 22:52:45, red-cube, 0.3574, -1.5500
2025-11-23 22:54:10, green-cube, 1.9474, -0.3653
2025-11-23 23:03:22, red-cube, 0.3626, -1.5489
2025-11-23 23:04:00, green-cube, 1.9690, -0.3233
2025-11-23 23:04:56, yellow-cube, 0.0521, -3.1477
2025-11-23 23:19:02, blue-cube, 0.3422, -0.0042
2025-11-23 23:23:41, red-cube, 0.2137, -0.0002
2025-11-23 23:26:18, red-cube, 0.3625, -1.5477
2025-11-23 23:26:45, green-cube, 1.9752, -0.3112
2025-11-23 23:31:03, red-cube, 0.4090, -1.5409
2025-11-23 23:31:25, green-cube, 1.9737, -0.3114
2025-11-23 23:33:41, yellow-cube, 0.0498, -3.2426
2025-11-23 23:40:09, red-cube, 0.3696, -1.5120
2025-11-23 23:40:28, green-cube, 1.9574, -0.3428
2025-11-23 23:41:48, green-cube, 1.9520, -0.3556
2025-11-23 23:48:11, red-cube, 0.3301, -1.5636
2025-11-23 23:48:42, green-cube, 1.9638, -0.3209
2025-11-23 23:51:33, red-cube, 0.3240, -1.5524
2025-11-23 23:51:54, green-cube, 1.9642, -0.3205
2025-11-23 23:57:50, red-cube, 0.3269, -1.5511
2025-11-23 23:58:13, green-cube, 1.9720, -0.3188
2025-11-24 00:00:58, yellow-cube, 0.0696, -3.2481
